split,model,missingness,ADE,FDE,n,stop,go,turn_left,turn_right,action,action_accuracy,stop_precision,stop_recall,true_stop,pred_stop,plot
eth,missing_lstm,random_0.3,1.0776199469199548,2.2050465803879957,364,7,297,53,7,go,0.9010989010989011,0.8571428571428571,0.5,12,7,
eth,missing_lstm,random_0.5,1.223909577170571,2.352526753813356,364,5,296,55,8,go,0.9038461538461539,1.0,0.4166666666666667,12,5,
eth,missing_lstm,contiguous,1.0375922610471537,2.178258619465671,364,6,294,55,9,go,0.8983516483516484,0.8333333333333334,0.4166666666666667,12,6,
eth,missing_lstm,partial,1.3114091118613442,2.439710952423431,364,4,303,52,5,go,0.8928571428571429,1.0,0.3333333333333333,12,4,
eth,missing_transformer,complete,1.0313482009447539,2.1542331726996453,364,5,297,55,7,go,0.8956043956043956,0.8,0.3333333333333333,12,5,
eth,missing_transformer,random_0.1,1.030925376729651,2.140454127238347,364,5,301,52,6,go,0.8956043956043956,0.8,0.3333333333333333,12,5,
eth,missing_transformer,random_0.3,1.0912450041089738,2.180384118478377,364,6,292,58,8,go,0.9093406593406593,1.0,0.5,12,6,
eth,missing_transformer,random_0.5,1.2699748801661062,2.4080760950570577,364,2,299,58,5,go,0.9010989010989011,0.5,0.08333333333333333,12,2,
eth,missing_transformer,contiguous,1.0313482009447539,2.1542331726996453,364,5,297,55,7,go,0.8956043956043956,0.8,0.3333333333333333,12,5,
eth,missing_transformer,partial,1.3025902522789252,2.4137124700860664,364,3,305,50,6,go,0.8956043956043956,1.0,0.25,12,3,
hotel,constant_velocity,complete,0.31935556378579677,0.6141975953764186,1197,146,843,177,31,go,0.9440267335004177,0.815068493150685,0.8814814814814815,135,146,
hotel,constant_velocity,random_0.1,0.3255945324598996,0.6116639557438486,1197,151,841,175,30,go,0.9448621553884712,0.8079470198675497,0.9037037037037037,135,151,
hotel,constant_velocity,random_0.3,0.34437768712776745,0.6099911528820781,1197,142,847,174,34,go,0.9381787802840434,0.8169014084507042,0.8592592592592593,135,142,
hotel,constant_velocity,random_0.5,0.413590859749363,0.6664725484306253,1197,137,843,185,32,go,0.9239766081871345,0.8394160583941606,0.8518518518518519,135,137,
hotel,constant_velocity,contiguous,0.31935556378579677,0.6141975953764186,1197,146,843,177,31,go,0.9440267335004177,0.815068493150685,0.8814814814814815,135,146,
hotel,constant_velocity,partial,0.5398291854332563,0.7615986140748313,1197,150,838,177,32,go,0.9064327485380117,0.7733333333333333,0.8592592592592593,135,150,
hotel,vanilla_lstm,complete,4.482778298824951,5.377227837380112,1197,1018,38,141,0,stop,0.214703425229741,0.12180746561886051,0.9185185185185185,135,1018,
hotel,vanilla_lstm,random_0.1,4.483299542787977,5.376422913948894,1197,1017,38,142,0,stop,0.214703425229741,0.12192723697148476,0.9185185185185185,135,1017,
hotel,vanilla_lstm,random_0.3,4.49039598116799,5.377299342239112,1197,1017,37,143,0,stop,0.21303258145363407,0.12291052114060963,0.9259259259259259,135,1017,
hotel,vanilla_lstm,random_0.5,4.512241653133255,5.392516125812069,1197,1013,37,147,0,stop,0.20551378446115287,0.12240868706811452,0.9185185185185185,135,1013,
hotel,vanilla_lstm,contiguous,4.482778298824951,5.377227837380112,1197,1018,38,141,0,stop,0.214703425229741,0.12180746561886051,0.9185185185185185,135,1018,
hotel,vanilla_lstm,partial,4.519504510071642,5.39966364811138,1197,984,39,174,0,stop,0.20885547201336674,0.12703252032520326,0.9259259259259259,135,984,
